,nb_purchase,total_buy,cluster
0,0.0,13664.08,1
1,3.0,9553.02,1
2,0.0,7571.63,1
3,1.0,7274.88,1
4,0.0,6929.31,1
5,1.0,6922.21,1
6,0.0,6726.66,1
7,0.0,6081.54,1
8,1.0,4809.44,1
9,0.0,4764.34,1
10,1.0,4681.78,1
11,4.0,4655.91,1
12,1.0,4513.32,1
13,1.0,4445.5,1
14,0.0,4194.76,1
15,1.0,4175.26,1
16,1.0,4163.51,1
17,0.0,4053.08,1
18,0.0,4042.74,1
19,1.0,4034.44,1
20,0.0,4016.91,1
21,1.0,3979.55,1
22,1.0,3826.8,1
23,1.0,3792.59,1
24,0.0,3782.19,1
25,0.0,3736.22,1
26,0.0,3666.42,1
27,0.0,3602.47,1
28,0.0,3559.9900000000002,1
29,1.0,3526.46,1
30,1.0,3406.47,1
31,1.0,3358.24,1
32,1.0,3351.35,1
33,0.0,3297.3999999999996,1
34,1.0,3256.14,1
35,1.0,3242.84,1
36,1.0,3209.72,1
37,1.0,3195.73,1
38,0.0,3184.55,1
39,1.0,3155.82,1
40,0.0,3126.5,1
41,0.0,3126.5,1
42,1.0,3122.72,1
43,1.0,3076.13,1
44,0.0,3064.7200000000003,1
45,0.0,3048.27,1
46,0.0,3044.12,1
47,0.0,3042.36,1
48,0.0,3041.73,1
49,0.0,3024.08,1
50,1.0,3018.6,1
51,0.0,3016.01,1
52,0.0,3009.53,1
53,1.0,3005.06,1
54,1.0,2960.05,1
55,0.0,2938.17,1
56,0.0,2913.47,1
57,1.0,2844.96,1
58,1.0,2838.22,1
59,1.0,2828.42,1
60,0.0,2827.0,1
61,1.0,2818.74,1
62,0.0,2794.5,1
63,0.0,2791.52,1
64,1.0,2787.87,1
65,0.0,2784.16,1
66,2.0,2783.01,1
67,1.0,2759.95,1
68,0.0,2759.88,1
69,0.0,2751.24,1
70,0.0,2734.66,1
71,0.0,2734.11,1
72,0.0,2733.63,1
73,0.0,2732.06,1
74,1.0,2713.36,1
75,1.0,2713.36,1
76,0.0,2692.82,1
77,0.0,2681.29,1
78,0.0,2681.29,1
79,1.0,2647.76,1
80,1.0,2638.64,1
81,0.0,2627.09,1
82,1.0,2616.0,1
83,1.0,2607.09,1
84,0.0,2606.01,1
85,1.0,2590.61,1
86,0.0,2574.38,1
87,0.0,2566.9,1
88,1.0,2564.65,1
89,1.0,2512.53,1
90,0.0,2487.24,1
91,0.0,2480.58,1
92,0.0,2467.33,1
93,1.0,2467.17,1
94,1.0,2457.44,1
95,1.0,2455.12,1
96,0.0,2452.12,1
97,0.0,2450.1,1
98,1.0,2438.51,1
99,0.0,2429.68,1
100,1.0,2419.2,1
101,0.0,2416.0,1
102,1.0,2404.72,1
103,1.0,2404.72,1
104,0.0,2400.48,1
105,1.0,2389.78,1
106,1.0,2384.5,1
107,1.0,2360.42,1
108,1.0,2345.03,1
109,2.0,2340.08,1
110,0.0,2338.48,1
111,1.0,2337.4,1
112,1.0,2333.97,1
113,1.0,2328.4,1
114,1.0,2325.22,1
115,0.0,2324.99,1
116,1.0,2323.25,1
117,1.0,2322.32,1
118,0.0,2315.83,1
119,1.0,2314.82,1
120,1.0,2304.68,1
121,2.0,2299.66,1
122,0.0,2288.31,1
123,1.0,2276.1,1
124,0.0,2269.98,1
125,1.0,2267.28,1
126,1.0,2267.18,1
127,1.0,2266.61,1
128,1.0,2264.9,1
129,0.0,2262.8,1
130,1.0,2252.66,1
131,1.0,2241.64,1
132,1.0,2234.7,1
133,0.0,2234.66,1
134,1.0,2225.69,1
135,1.0,2223.12,1
136,1.0,2220.32,1
137,0.0,2217.99,1
138,1.0,2213.22,1
139,1.0,2207.98,1
140,1.0,2204.04,1
141,1.0,2202.4,1
142,0.0,2190.4,1
143,1.0,2187.42,1
144,1.0,2187.42,1
145,1.0,2183.6,1
146,1.0,2183.15,1
147,0.0,2168.6,1
148,1.0,2164.4,1
149,1.0,2158.57,1
150,1.0,2155.35,1
151,0.0,2154.82,1
152,1.0,2153.35,1
153,1.0,2153.35,1
154,1.0,2153.35,1
155,1.0,2153.35,1
156,1.0,2152.92,1
157,1.0,2151.29,1
158,0.0,2150.81,1
159,0.0,2150.22,1
160,0.0,2148.4,1
161,1.0,2133.69,1
162,0.0,2125.19,1
163,1.0,2124.78,1
164,0.0,2116.01,1
165,1.0,2115.79,1
166,1.0,2115.05,1
167,1.0,2114.63,1
168,0.0,2111.57,1
169,1.0,2110.57,1
170,0.0,2106.55,1
171,1.0,2105.57,1
172,1.0,2098.4,1
173,1.0,2096.14,1
174,1.0,2094.44,1
175,1.0,2092.86,1
176,1.0,2091.33,1
177,0.0,2083.09,1
178,1.0,2082.36,1
179,1.0,2075.48,1
180,0.0,2068.68,1
181,0.0,2067.42,1
182,0.0,2066.34,1
183,1.0,2065.77,1
184,0.0,2065.35,1
185,0.0,2064.88,1
186,1.0,2060.51,1
187,1.0,2060.2,1
188,1.0,2060.2,1
189,1.0,2055.84,1
190,1.0,2048.12,1
191,1.0,2045.47,1
192,0.0,2039.44,1
193,0.0,2039.31,1
194,0.0,2039.2,1
195,0.0,2036.86,1
196,1.0,2036.04,1
197,0.0,2035.86,1
198,0.0,2034.48,1
199,1.0,2034.31,1
200,0.0,2033.48,1
201,0.0,2032.04,1
202,1.0,2032.0,1
203,0.0,2031.47,1
204,1.0,2031.09,1
205,0.0,2029.62,1
206,0.0,2028.75,1
207,1.0,2028.65,1
208,0.0,2027.65,1
209,1.0,2027.26,1
210,0.0,2027.23,1
211,0.0,2027.16,1
212,0.0,2026.54,1
213,0.0,2026.54,1
214,0.0,2026.54,1
215,1.0,2024.31,1
216,0.0,2023.58,1
217,0.0,2023.58,1
218,0.0,2023.0,1
219,1.0,2022.33,1
220,1.0,2022.02,1
221,2.0,2020.86,1
222,0.0,2017.08,1
223,1.0,2014.99,1
224,0.0,2009.62,1
225,2.0,1999.6799999999998,1
226,0.0,1996.32,1
227,1.0,1995.69,1
228,1.0,1992.42,1
229,1.0,1989.96,1
230,1.0,1989.75,1
231,1.0,1981.22,1
232,0.0,1980.71,1
233,1.0,1978.18,1
234,0.0,1966.91,1
235,0.0,1963.97,1
236,1.0,1963.14,1
237,1.0,1963.14,1
238,1.0,1963.14,1
239,0.0,1961.0,1
240,1.0,1951.95,1
241,1.0,1950.2,1
242,0.0,1949.52,1
243,0.0,1944.86,1
244,0.0,1942.6,1
245,0.0,1942.0,1
246,0.0,1938.74,1
247,1.0,1937.64,1
248,1.0,1936.99,1
249,0.0,1936.5,1
250,0.0,1936.27,1
251,1.0,1930.34,1
252,1.0,1927.38,1
253,0.0,1925.81,1
